run_name,seed,spec_group,baseline,alpha,return_mean,satisfaction_rate,violation_rate,goal_rate,bomb_hit_rate,runtime_sec
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,vanilla,0.0,-1.1,0.086,0.914,0.002,0.914,2281.9597244262695
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,logic_alpha0.01,0.01,-1.02326,0.166,0.834,0.008,0.834,2288.1495814323425
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,logic_alpha0.05,0.05,-1.08696,0.094,0.906,0.0,0.906,2272.2836849689484
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,logic_alpha0.1,0.1,-1.05396,0.116,0.884,0.01,0.884,2271.2963132858276
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,logic_alpha0.2,0.2,-1.0595599999999998,0.092,0.908,0.028,0.908,2190.929774045944
alpha_sens_avoid_bombs_greedy_s0,0,avoid_bombs,logic_alpha0.4,0.4,-0.9618400000000001,0.264,0.736,0.006,0.736,2272.2556941509247
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,vanilla,0.0,-1.0443200000000001,0.224,0.776,0.0,0.776,2331.0498468875885
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,logic_alpha0.01,0.01,-0.9484000000000002,0.32,0.68,0.0,0.68,2324.9872148036957
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,logic_alpha0.05,0.05,-1.09684,0.082,0.918,0.0,0.918,2235.39967417717
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,logic_alpha0.1,0.1,-0.8897600000000001,0.396,0.604,0.002,0.604,2377.4057767391205
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,logic_alpha0.2,0.2,-1.02564,0.178,0.822,0.008,0.822,2258.712866783142
alpha_sens_avoid_bombs_greedy_s1,1,avoid_bombs,logic_alpha0.4,0.4,-0.9789,0.306,0.694,0.0,0.694,2375.739949941635
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,vanilla,0.0,-0.6421600000000001,0.748,0.252,0.052,0.252,2479.2615988254547
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,logic_alpha0.01,0.01,-0.8262400000000001,0.476,0.524,0.072,0.524,2421.8796679973602
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,logic_alpha0.05,0.05,-0.6535600000000001,0.608,0.392,0.148,0.392,2303.12659406662
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,logic_alpha0.1,0.1,-0.88656,0.404,0.596,0.062,0.596,2407.628128051758
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,logic_alpha0.2,0.2,-0.6917800000000001,0.668,0.332,0.06,0.332,2457.8739025592804
alpha_sens_avoid_bombs_greedy_s2,2,avoid_bombs,logic_alpha0.4,0.4,-0.6453800000000001,0.764,0.236,0.03,0.236,2478.4751760959625
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,vanilla,0.0,-1.1,0.002,0.998,0.002,0.914,2290.8058137893677
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,logic_alpha0.01,0.01,-0.9795200000000002,0.012,0.988,0.012,0.744,2357.4529478549957
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,logic_alpha0.05,0.05,-0.9648800000000001,0.004,0.996,0.004,0.744,2334.7182219028473
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,logic_alpha0.1,0.1,-0.8177600000000002,0.09,0.91,0.09,0.672,2348.5522122383118
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,logic_alpha0.2,0.2,-0.7900600000000002,0.072,0.928,0.072,0.618,2280.5995774269104
alpha_sens_reach_goal_while_safe_greedy_s0,0,reach_goal_while_safe,logic_alpha0.4,0.4,-0.8417400000000002,0.046,0.954,0.046,0.642,2296.194837808609
