baseline,return_mean,return_std,violation_rate,satisfaction_rate,runtime_sec,env,spec,seed,num_episodes,satisfaction_soft_mean,violation_rate_episode,violation_rate_step,goal_rate,bomb_hit_rate,hazard_hit_rate,decoding_mode,beam_width,model_type,checkpoint_path,satisfaction_source,run_id,timestamp_utc,random_return_mean,random_goal_rate,random_violation_rate,better_than_random,rtg_target,action_loss,supervised_action_loss,total_loss,logic_loss,success_rate,dataset_size,context_len,spec_group,alpha,source_run,source_csv
vanilla,-1.3599999999999997,4.440892098500626e-16,1.0,0.0,41.02428412437439,cb,avoid_bombs,0,200,0.0,1.0,0.0,0.0,1.0,1.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/seed_0/train_shared/vanilla/dt_state_29.pt,hazard_proxy,vanilla,20260705T232132Z,-1.4828500000000002,0.09,0.84,False,-1.2300000190734863,,,,,0.0,,20,avoid_bombs,0,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_0/baseline_metrics.csv
vanilla,-1.33,0.0,1.0,0.0,37.94830894470215,cb,avoid_bombs,1,200,0.0,1.0,0.0,0.0,1.0,1.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/seed_1/train_shared/vanilla/dt_state_29.pt,hazard_proxy,vanilla,20260706T135117Z,-1.5052500000000004,0.075,0.9,False,-1.2200000286102295,,,,,0.0,,20,avoid_bombs,0,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_1/baseline_metrics.csv
logic_alpha0.1,-2.000000000000001,4.440892098500626e-16,0.0,1.0,216.11874747276306,cb,avoid_bombs,0,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/seed_0/train_shared/logic_alpha0.1/dt_state_29.pt,dfa,logic_alpha0.1,20260705T232214Z,-1.4828500000000002,0.09,0.84,False,-1.2300000190734863,,,,,0.0,,20,avoid_bombs,0.1,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_0/baseline_metrics.csv
logic_alpha0.1,-2.000000000000001,4.440892098500626e-16,0.0,1.0,216.8263864517212,cb,avoid_bombs,1,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/seed_1/train_shared/logic_alpha0.1/dt_state_29.pt,dfa,logic_alpha0.1,20260706T135156Z,-1.5052500000000004,0.075,0.9,False,-1.2200000286102295,,,,,0.0,,20,avoid_bombs,0.1,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_1/baseline_metrics.csv
logic_alpha0.2,-2.000000000000001,4.440892098500626e-16,0.0,1.0,215.6594467163086,cb,avoid_bombs,0,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/seed_0/train_shared/logic_alpha0.2/dt_state_29.pt,dfa,logic_alpha0.2,20260705T232552Z,-1.4828500000000002,0.09,0.84,False,-1.2300000190734863,,,,,0.0,,20,avoid_bombs,0.2,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_0/baseline_metrics.csv
logic_alpha0.2,-2.000000000000001,4.440892098500626e-16,0.0,1.0,215.1407072544098,cb,avoid_bombs,1,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/seed_1/train_shared/logic_alpha0.2/dt_state_29.pt,dfa,logic_alpha0.2,20260706T135535Z,-1.5052500000000004,0.075,0.9,False,-1.2200000286102295,,,,,0.0,,20,avoid_bombs,0.2,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_1/baseline_metrics.csv
logic_alpha0.3,-2.000000000000001,4.440892098500626e-16,0.0,1.0,211.45015501976013,cb,avoid_bombs,0,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/seed_0/train_shared/logic_alpha0.3/dt_state_29.pt,dfa,logic_alpha0.3,20260705T232929Z,-1.4828500000000002,0.09,0.84,False,-1.2300000190734863,,,,,0.0,,20,avoid_bombs,0.3,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_0/baseline_metrics.csv
logic_alpha0.3,-2.000000000000001,4.440892098500626e-16,0.0,1.0,216.33744931221008,cb,avoid_bombs,1,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/seed_1/train_shared/logic_alpha0.3/dt_state_29.pt,dfa,logic_alpha0.3,20260706T135911Z,-1.5052500000000004,0.075,0.9,False,-1.2200000286102295,,,,,0.0,,20,avoid_bombs,0.3,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_1/baseline_metrics.csv
logic_alpha0.4,-2.000000000000001,4.440892098500626e-16,0.0,1.0,215.69584703445435,cb,avoid_bombs,0,200,1.0,0.0,0.0,0.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/seed_0/train_shared/logic_alpha0.4/dt_state_29.pt,dfa,logic_alpha0.4,20260705T233302Z,-1.4828500000000002,0.09,0.84,False,-1.2300000190734863,,,,,0.0,,20,avoid_bombs,0.4,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z,runs/cb/dt_product_value_pre_random_1.0_seed0_greedy_20260705T191250Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_0/baseline_metrics.csv
logic_alpha0.4,-0.8700000000000011,3.3306690738754696e-16,0.0,1.0,202.28516793251038,cb,avoid_bombs,1,200,1.0,0.0,0.0,1.0,0.0,0.0,greedy,1,dt,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/seed_1/train_shared/logic_alpha0.4/dt_state_29.pt,dfa,logic_alpha0.4,20260706T140249Z,-1.5052500000000004,0.075,0.9,True,-1.2200000286102295,,,,,1.0,,20,avoid_bombs,0.4,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z,runs/cb/dt_product_value_pre_random_1.0_seed1_greedy_20260706T094820Z/spec_avoid_bombs/mix_random_1.0/mode_greedy/seed_1/baseline_metrics.csv
